date,sector,global_mean,global_std,global_count
2022-10-31,2차전지,0.54044485,0.03967384,2
2022-11-01,2차전지,0.5141861,,1
2022-11-03,2차전지,0.3579444,0.2723511,3
2022-11-04,2차전지,0.49373803,,1
2022-11-05,2차전지,0.20372643,0.23796365,2
2022-11-09,2차전지,0.5047535,,1
2022-11-13,2차전지,0.5765029,,1
2022-11-14,2차전지,0.14128035,,1
2022-11-15,2차전지,0.4986994,,1
2022-11-21,2차전지,0.49523738,,1
2022-11-23,2차전지,0.5116333,,1
2022-11-27,2차전지,0.28297997,,1
2022-11-29,2차전지,0.5000811,,1
2022-12-01,2차전지,0.4953839,0.5700527,2
2022-12-02,2차전지,0.24082582,0.1639663,2
2022-12-03,2차전지,0.5502403,,1
2022-12-06,2차전지,0.15657169,0.16287959,2
2022-12-08,2차전지,0.58952737,,1
2022-12-09,2차전지,0.2812619,0.32445857,2
2022-12-12,2차전지,0.4985078,,1
2022-12-13,2차전지,0.5361241,,1
2022-12-17,2차전지,0.4959772,,1
2022-12-19,2차전지,0.48038605,,1
2022-12-21,2차전지,0.5008834,,1
2022-12-22,2차전지,0.50385684,,1
2022-12-23,2차전지,0.3914655,0.2833944,3
2022-12-29,2차전지,0.54781723,0.06134517,4
2023-01-01,2차전지,0.04655612,,1
2023-01-05,2차전지,0.018754706,,1
2023-01-07,2차전지,0.48373568,,1
2023-01-08,2차전지,0.109620325,,1
2023-01-09,2차전지,0.617406,0.15597406,2
2023-01-10,2차전지,0.8560139,,1
2023-01-11,2차전지,0.5602155,0.026344014,2
2023-01-13,2차전지,0.14366132,,1
2023-01-18,2차전지,0.5149413,0.006097661,3
2023-01-20,2차전지,0.49544823,,1
2023-01-25,2차전지,0.70237947,,1
2023-01-27,2차전지,0.55438584,,1
2023-01-31,2차전지,0.9652385,,1
2023-02-02,2차전지,0.54720867,0.059834447,2
2023-02-03,2차전지,0.5343482,,1
2023-02-06,2차전지,0.5205333,0.0090274755,2
2023-02-07,2차전지,0.72892344,0.31739375,2
2023-02-08,2차전지,0.688012,,1
2023-02-09,2차전지,0.6180819,,1
2023-02-10,2차전지,0.4638139,0.36847705,3
2023-02-11,2차전지,0.57178706,,1
2023-02-13,2차전지,0.3569503,0.42984954,2
2023-02-14,2차전지,0.36611444,0.19107307,4
2023-02-15,2차전지,0.594105,,1
2023-02-17,2차전지,0.50042236,,1
2023-02-18,2차전지,0.54067135,,1
2023-02-21,2차전지,0.40896612,0.15681972,2
2023-02-23,2차전지,0.6369537,0.13658142,2
2023-03-03,2차전지,0.5417683,0.034804024,2
2023-03-06,2차전지,0.48996636,,1
2023-03-07,2차전지,0.5430744,,1
2023-03-08,2차전지,0.69753313,0.25131035,2
2023-03-10,2차전지,0.6566321,0.20582154,3
2023-03-11,2차전지,0.5638941,,1
2023-03-14,2차전지,0.54295385,0.057112772,2
2023-03-15,2차전지,0.16062468,,1
2023-03-16,2차전지,0.4836347,,1
2023-03-19,2차전지,0.56748086,,1
2023-03-20,2차전지,0.4783789,0.27747455,3
2023-03-21,2차전지,0.50255305,,1
2023-03-23,2차전지,0.92476046,,1
2023-03-24,2차전지,0.6809989,,1
2023-03-25,2차전지,0.84704137,,1
2023-03-26,2차전지,0.33088982,,1
2023-03-28,2차전지,0.4887162,0.4272292,3
2023-03-29,2차전지,0.5205425,,1
2023-03-31,2차전지,0.18920636,0.2019817,2
2023-04-02,2차전지,0.9690339,,1
2023-04-03,2차전지,0.7340754,0.2851829,2
2023-04-04,2차전지,0.45574182,0.00020418041,2
2023-04-05,2차전지,0.6187931,0.12492789,2
2023-04-07,2차전지,0.5129535,,1
2023-04-08,2차전지,0.7025477,0.26941058,2
2023-04-09,2차전지,0.3959718,,1
2023-04-10,2차전지,0.5437366,,1
2023-04-11,2차전지,0.3413301,0.39919102,2
2023-04-12,2차전지,0.52316797,0.026721094,4
2023-04-13,2차전지,0.51450944,0.008861333,2
2023-04-14,2차전지,0.5937793,0.08331425,2
2023-04-17,2차전지,0.7909199,,1
2023-04-18,2차전지,0.40024456,,1
2023-04-19,2차전지,0.5284453,0.028080676,2
2023-04-20,2차전지,0.39164257,0.45408323,2
2023-04-23,2차전지,0.51439404,,1
2023-04-25,2차전지,0.4368698,0.2915374,4
2023-04-26,2차전지,0.06194482,,1
2023-04-28,2차전지,0.03278836,,1
2023-04-29,2차전지,0.057207257,,1
2023-05-02,2차전지,0.61661744,0.11244476,2
2023-05-04,2차전지,0.5500365,,1
2023-05-08,2차전지,0.56658137,0.012497257,2
2023-05-09,2차전지,0.53159595,,1
2023-05-10,2차전지,0.057367958,,1
2023-05-16,2차전지,0.37114188,0.21732049,6
2023-05-17,2차전지,0.53326106,,1
2023-05-18,2차전지,0.3904605,,1
