date,ticker,name,end,AUM,log_return_t+5
2024-03-14,423160,KODEX KOFR금리액티브(합성),104334,343259,0.0006611190398757572
2024-03-14,459580,KODEX CD금리액티브(합성),1011699,579524,0.0006758619720308445
2024-03-15,157450,TIGER 단기통안채,105303,13657,0.0007499347718393778
2024-03-15,423160,KODEX KOFR금리액티브(합성),104349,344037,0.0006610240364857134
2024-03-15,459580,KODEX CD금리액티브(합성),1011907,334326,0.0006776982230238815
2024-03-18,157450,TIGER 단기통안채,105313,39742,0.0006549752245348373
2024-03-18,423160,KODEX KOFR금리액티브(합성),104364,327214,0.000708805500886811
2024-03-18,459580,KODEX CD금리액티브(합성),1011985,420607,0.0006835709140045054
2024-03-19,157450,TIGER 단기통안채,105332,46401,0.0006643446484630999
2024-03-19,423160,KODEX KOFR금리액티브(합성),104374,367440,0.0007087376147865143
2024-03-19,459580,KODEX CD금리액티브(합성),1012088,402743,0.0006835013708936799
2024-03-20,157450,TIGER 단기통안채,105337,9711,0.0006168768197749586
2024-03-20,423160,KODEX KOFR금리액티브(합성),104384,317106,0.0006608024680581082
2024-03-20,459580,KODEX CD금리액티브(합성),1012180,350923,0.0006854138478971095
2024-03-21,157450,TIGER 단기통안채,105367,15379,0.0006072164059105489
2024-03-21,423160,KODEX KOFR금리액티브(합성),104403,385269,0.0005745310548430638
2024-03-21,459580,KODEX CD금리액티브(합성),1012383,340297,0.0006783667913765612
2024-03-22,157450,TIGER 단기통안채,105382,9520,0.0006071300013843484
2024-03-22,423160,KODEX KOFR금리액티브(합성),104418,329931,0.0007658580856446662
2024-03-22,459580,KODEX CD금리액티브(합성),1012593,335175,0.000685134388163533
2024-03-25,157450,TIGER 단기통안채,105382,36336,0.0006545465127700822
2024-03-25,423160,KODEX KOFR금리액티브(합성),104438,340300,0.0006700296020873964
2024-03-25,459580,KODEX CD금리액티브(합성),1012677,487452,0.0006752094738473602
2024-03-26,157450,TIGER 단기통안채,105402,5968,0.0005121930510636474
2024-03-26,423160,KODEX KOFR금리액티브(합성),104448,330197,0.0006699654739854566
2024-03-26,459580,KODEX CD금리액티브(합성),1012780,336273,0.000674154112678238
2024-03-27,157450,TIGER 단기통안채,105402,10240,0.0005121930510636474
2024-03-27,423160,KODEX KOFR금리액티브(합성),104453,325954,0.0006699334145352509
2024-03-27,459580,KODEX CD금리액티브(합성),1012874,254432,0.0006839577634050187
2024-03-28,157450,TIGER 단기통안채,105431,10543,0.0006637210339786037
2024-03-28,423160,KODEX KOFR금리액티브(합성),104463,42173,0.0006698693048434734
2024-03-28,459580,KODEX CD금리액티브(합성),1013070,255067,0.000688757589498934
2024-03-29,157450,TIGER 단기통안채,105446,16427,0.0005214580083734432
2024-03-29,423160,KODEX KOFR금리액티브(합성),104498,36938,0.0006027006912603383
2024-03-29,459580,KODEX CD금리액티브(합성),1013287,262643,0.0006826928749141814
2024-04-01,157450,TIGER 단기통안채,105451,6613,0.0006635951933784412
2024-04-01,423160,KODEX KOFR금리액티브(합성),104508,492064,0.0006982672734192619
2024-04-01,459580,KODEX CD금리액티브(합성),1013361,204099,0.0006925044076169229
2024-04-02,157450,TIGER 단기통안채,105456,4335,0.0006635637406837702
2024-04-02,423160,KODEX KOFR금리액티브(합성),104518,336474,0.0007460046062650605
2024-04-02,459580,KODEX CD금리액티브(합성),1013463,211452,0.0007900472220025989
2024-04-03,157450,TIGER 단기통안채,105456,5941,0.0008909699839652063
2024-04-03,423160,KODEX KOFR금리액티브(합성),104523,342452,0.0008415657443912039
2024-04-03,459580,KODEX CD금리액티브(합성),1013567,244250,0.0008855876620188496
2024-04-04,157450,TIGER 단기통안채,105501,5542,0.0002748411388147076
2024-04-04,423160,KODEX KOFR금리액티브(합성),104533,621420,0.0010230766813403847
2024-04-04,459580,KODEX CD금리액티브(합성),1013768,353243,0.0008854121540711191
2024-04-05,157450,TIGER 단기통안채,105501,7730,0.0005117125424387581
2024-04-05,423160,KODEX KOFR금리액티브(합성),104561,357275,0.0008412600276272997
2024-04-05,459580,KODEX CD금리액티브(합성),1013979,365539,0.0007600818415056665
2024-04-08,157450,TIGER 단기통안채,105521,3975,0.00032215884604802625
2024-04-08,423160,KODEX KOFR금리액티브(합성),104581,396146,0.0006977800364378339
2024-04-08,459580,KODEX CD금리액티브(합성),1014063,491589,0.0007698726837404024
2024-04-09,157450,TIGER 단기통안채,105526,7968,0.00032214358407500754
2024-04-09,423160,KODEX KOFR금리액티브(합성),104596,388237,0.0006499092267375772
2024-04-09,459580,KODEX CD금리액티브(합성),1014264,364431,0.0006633152897865813
2024-04-11,157450,TIGER 단기통안채,105550,68072,0.0003315414338747047
2024-04-11,423160,KODEX KOFR금리액티브(합성),104611,453417,0.0006020498545318276
2024-04-11,459580,KODEX CD금리액티브(합성),1014465,343508,0.0006582584572107919
2024-04-12,157450,TIGER 단기통안채,105530,7936,0.0007104459531070972
2024-04-12,423160,KODEX KOFR금리액티브(합성),104640,521943,0.000611433831338104
2024-04-12,459580,KODEX CD금리액티브(합성),1014666,343797,0.0006738863396993366
2024-04-15,157450,TIGER 단기통안채,105555,7055,0.0005209196717608222
2024-04-15,423160,KODEX KOFR금리액티브(합성),104649,542775,0.0006686790971706102
2024-04-15,459580,KODEX CD금리액티브(합성),1014750,401967,0.0006639825204768357
2024-04-16,157450,TIGER 단기통안채,105555,4925,0.0005209196717608222
2024-04-16,423160,KODEX KOFR금리액티브(합성),104654,500927,0.0006686471607135758
2024-04-16,459580,KODEX CD금리액티브(합성),1014844,477782,0.0006727834723427861
2024-04-17,157450,TIGER 단기통안채,105560,7468,0.0005208950040831439
2024-04-17,423160,KODEX KOFR금리액티브(합성),104664,644375,0.0006590352535837951
2024-04-17,459580,KODEX CD금리액티브(합성),1014937,369238,0.0006766603182200015
2024-04-18,157450,TIGER 단기통안채,105585,5047,0.0004166390545758958
2024-04-18,423160,KODEX KOFR금리액티브(합성),104674,685360,0.0007067070611483928
2024-04-18,459580,KODEX CD금리액티브(합성),1015133,356987,0.0006834206749637417
2024-04-19,157450,TIGER 단기통안채,105605,47943,0.0004638855705909606
2024-04-19,423160,KODEX KOFR금리액티브(합성),104704,424875,0.0006969606117497307
2024-04-19,459580,KODEX CD금리액티브(합성),1015350,369469,0.0006852430813442112
2024-04-22,157450,TIGER 단기통안채,105610,14203,0.0006531338825279676
2024-04-22,423160,KODEX KOFR금리액티브(합성),104719,810174,0.0006873180548367941
2024-04-22,459580,KODEX CD금리액티브(합성),1015424,450621,0.0006901138272521479
2024-04-23,157450,TIGER 단기통안채,105610,52127,0.0006531338825279676
2024-04-23,423160,KODEX KOFR금리액티브(합성),104724,1002663,0.0007827041873369467
2024-04-23,459580,KODEX CD금리액티브(합성),1015527,439414,0.0007933617889790412
2024-04-24,157450,TIGER 단기통안채,105615,7596,0.0010220595387622211
2024-04-24,423160,KODEX KOFR금리액티브(합성),104733,926394,0.0008398790304458004
2024-04-24,459580,KODEX CD금리액티브(합성),1015624,432023,0.000982164639740546
2024-04-25,157450,TIGER 단기통안채,105629,7528,0.001031381527507591
2024-04-25,423160,KODEX KOFR금리액티브(합성),104748,1046920,0.0010686616031740925
2024-04-25,459580,KODEX CD금리액티브(합성),1015827,348960,0.0009672165533096688
2024-04-26,157450,TIGER 단기통안채,105654,6571,0.0008893010112949185
2024-04-26,423160,KODEX KOFR금리액티브(합성),104777,1296810,0.0009348826353932083
2024-04-26,459580,KODEX CD금리액티브(합성),1016046,167065,0.0008519605937564734
2024-04-29,157450,TIGER 단기통안채,105679,7256,0.000652707577080136
2024-04-29,423160,KODEX KOFR금리액티브(합성),104791,53312,0.0008012744507386316
2024-04-29,459580,KODEX CD금리액티브(합성),1016125,181784,0.0008695935001892252
2024-04-30,157450,TIGER 단기통안채,105679,6905,0.0010781570235600668
2024-04-30,423160,KODEX KOFR금리액티브(합성),104806,63007,0.0007534896942420488
2024-04-30,459580,KODEX CD금리액티브(합성),1016333,283758,0.000859584816442549
2024-05-02,157450,TIGER 단기통안채,105723,16026,0.0007564082317479404
2024-05-02,423160,KODEX KOFR금리액티브(합성),104821,922283,0.0008963650140536572
2024-05-02,459580,KODEX CD금리액티브(합성),1016622,260581,0.0007866103597073959
2024-05-03,157450,TIGER 단기통안채,105738,4389,0.0007941010059955289
2024-05-03,423160,KODEX KOFR금리액티브(합성),104860,1266018,0.000667334025433064
2024-05-03,459580,KODEX CD금리액티브(합성),1016810,245776,0.0006695174661341952
2024-05-07,157450,TIGER 단기통안채,105748,7687,0.0007940259420866624
2024-05-07,423160,KODEX KOFR금리액티브(합성),104875,1020441,0.0007148814792721225
2024-05-07,459580,KODEX CD금리액티브(합성),1016912,295062,0.000783438331525943
2024-05-08,157450,TIGER 단기통안채,105748,6547,0.0012191377765180533
2024-05-08,423160,KODEX KOFR금리액티브(합성),104875,619529,0.0008577964689155948
