date,DXY,UUP
2020-11-04,115.1677,21.7421817779541
2020-11-05,114.4556,21.5352783203125
2020-11-06,113.9919,21.45768928527832
2020-11-09,114.0895,21.595624923706055
2020-11-10,114.0757,21.595624923706055
2020-11-11,114.0757,21.621488571166992
2020-11-12,114.2843,21.621488571166992
2020-11-13,114.2397,21.578384399414062
2020-11-16,113.8312,21.526657104492188
2020-11-17,113.682,21.49217414855957
2020-11-18,113.46,21.500795364379883
2020-11-19,113.694,21.466310501098633
2020-11-20,113.489,21.49217414855957
2020-11-23,113.7548,21.526657104492188
2020-11-24,113.4316,21.423206329345703
2020-11-25,113.1823,21.388721466064453
2020-11-26,113.1823,21.388721466064453
2020-11-27,113.1823,21.345617294311523
2020-11-30,113.2256,21.397342681884766
2020-12-01,112.8063,21.20768165588379
2020-12-02,112.6115,21.18181800842285
2020-12-03,112.0236,21.069746017456055
2020-12-04,111.7778,21.09560775756836
2020-12-07,111.8385,21.13009262084961
2020-12-08,111.8639,21.155956268310547
2020-12-09,112.0305,21.164575576782227
2020-12-10,111.9788,21.10422706604004
2020-12-11,112.1417,21.155956268310547
2020-12-14,112.1708,21.09560775756836
2020-12-15,111.8601,21.026639938354492
2020-12-16,111.7157,21.000778198242188
2020-12-17,111.2226,20.888702392578125
2020-12-18,111.6071,20.914566040039062
2020-12-21,111.9415,20.957670211791992
2020-12-22,112.1947,21.069746017456055
2020-12-23,111.9807,20.97491455078125
2020-12-24,111.9807,20.992156982421875
2020-12-25,111.9807,20.992156982421875
2020-12-28,111.9752,20.992156982421875
2020-12-29,111.5172,20.923187255859375
2020-12-30,111.3084,20.836978912353516
2020-12-31,111.3169,20.897323608398438
2021-01-01,111.3169,20.897323608398438
2021-01-04,111.2075,20.914566040039062
2021-01-05,110.9574,20.793872833251953
2021-01-06,110.8502,20.768009185791016
2021-01-07,111.3042,20.888702392578125
2021-01-08,111.2847,20.923187255859375
2021-01-11,111.8257,21.052501678466797
2021-01-12,111.5501,20.9404296875
2021-01-13,111.3622,21.0093994140625
2021-01-14,111.1567,20.966293334960938
2021-01-15,111.5106,21.10422706604004
2021-01-18,111.5106,21.10422706604004
2021-01-19,111.4527,21.043882369995117
2021-01-20,111.4527,21.035261154174805
2021-01-21,111.1973,20.9404296875
2021-01-22,111.5516,20.983535766601562
2021-01-25,111.8676,21.0093994140625
2021-01-26,111.6572,20.94904899597168
2021-01-27,112.0782,21.078365325927734
2021-01-28,112.0059,21.026639938354492
2021-01-29,111.9511,21.052501678466797
2021-02-01,112.4189,21.155956268310547
2021-02-02,112.2862,21.18181800842285
2021-02-03,112.2567,21.17319679260254
2021-02-04,112.7469,21.26802635192871
2021-02-05,112.2379,21.147335052490234
2021-02-08,112.0428,21.138713836669922
2021-02-09,111.7675,21.026639938354492
2021-02-10,111.5834,21.01801872253418
2021-02-11,111.5272,21.0093994140625
2021-02-12,111.4889,21.026639938354492
2021-02-15,111.4889,21.026639938354492
2021-02-16,111.7879,21.026639938354492
2021-02-17,112.0204,21.11284828186035
2021-02-18,112.1603,21.043882369995117
2021-02-19,111.7058,20.992156982421875
2021-02-22,111.918,20.93181037902832
2021-02-23,111.8981,20.94904899597168
2021-02-24,111.7212,20.914566040039062
2021-02-25,111.9253,20.983535766601562
2021-02-26,112.8306,21.138713836669922
2021-03-01,112.5263,21.155956268310547
2021-03-02,112.5342,21.078365325927734
2021-03-03,112.7617,21.138713836669922
2021-03-04,112.7037,21.276649475097656
2021-03-05,113.7487,21.354238510131836
2021-03-08,114.2678,21.474933624267578
2021-03-09,113.928,21.354238510131836
2021-03-10,113.5881,21.319753646850586
2021-03-11,112.9214,21.21630096435547
